1 14760
1 15716
1 1736
1 21147
1 25358
1 13776
1 15894
1 7621
1 13560
1 5697
1 3107
1 22111
1 2648
1 16512
1 14337
1 2943
1 11448
1 903
1 145
1 12020
1 25638
1 1556
1 24444
1 18572
1 8820
1 3026
1 17974
1 10859
1 9861
1 19865
1 6085
1 15878
1 2638
1 24385
1 5525
1 13733
1 13465
1 15039
1 11882
1 1274
1 11008
1 9187
1 2894
1 3907
1 3882
1 19671
1 11221
1 13123
1 14331
1 21086
1 5012
1 2872
1 715
1 15069
1 15542
1 19268
1 3905
1 20163
1 3056
1 23849
1 1973
1 12452
1 9222
1 18130
1 24983
1 15019
1 18667
1 16338
1 9190
1 22889
1 13881
1 22923
1 22094
1 8419
1 3668
1 2099
1 15893
1 4441
1 2533
1 25448
1 16125
1 24939
1 18822
1 8020
1 2822
1 17487
1 21206
1 3690
1 22036
1 400
1 273
1 19349
1 22079
1 23222
1 9992
1 233
1 10324
1 7650
1 5558
1 4013
1 12076
1 9299
1 25015
1 14007
1 14744
1 23832
1 891
1 6148
1 9095
1 7181
1 9348
1 15054
1 15089
1 25463
1 14722
1 21483
1 4985
1 23337
1 3476
1 23339
1 13474
1 13136
1 17954
1 24456
1 10990
1 7479
1 16789
1 12025
1 16384
1 629
1 18978
1 21827
1 24601
1 1544
1 12922
1 5601
1 11160
1 17703
1 24398
1 2571
1 12470
1 17748
1 22939
1 6664
1 25477
1 8172
1 21644
1 24013
1 20593
1 24978
1 11004
1 12456
1 19774
1 23383
1 11510
1 11934
1 8865
1 21199
1 12730
1 2581
1 9864
1 5960
1 16941
1 18019
1 16573
1 19501
1 10156
1 16496
1 3135
1 16065
1 6389
1 16694
1 9242
1 21765
1 12982
1 9571
1 15798
1 5678
1 11866
1 23507
1 7652
1 17239
1 24224
1 13036
1 22246
1 14269
1 22419
1 21238
1 19169
1 4012
1 6175
1 22830
1 411
1 3604
1 19883
1 15628
1 20451
1 11757
1 25601
1 5240
1 25418
1 11953
1 21079
1 8272
1 6181
1 22516
1 11358
1 16900
1 16694
1 9660
1 7356
1 9734
1 9395
1 23104
1 13808
1 14225
1 23540
1 8865
1 6203
1 856
1 223
1 20043
1 25101
1 16677
1 23676
1 22903
1 4936
1 9567
1 10165
1 20115
1 4765
1 20160
1 25796
1 11817
1 17915
1 6543
1 18367
1 23869
1 14968
1 16553
1 4453
1 10332
1 19533
1 20071
1 5697
1 19229
1 19436
1 3923
1 17382
1 9368
1 16927
1 10401
1 16334
1 21536
1 24713
1 11281
1 20337
1 15796
1 12835
1 12219
1 12943
1 9984
1 25569
1 25055
1 8182
1 9403
1 20089
1 1646
1 9014
1 16055
1 8628
1 18527
1 18968
1 14762
1 3614
1 4550
1 12275
1 3384
1 4936
1 25242
1 2679
1 19254
1 16778
1 23676
1 25923
1 23612
1 15280
1 2660
1 6112
1 15490
