3 193 11908 14760
3 17895 24398 25131
3 1870 17022 18030
3 6193 14123 21147
3 12053 17476 18821
3 6071 13776 14631
3 1209 8727 25233
3 7621 8063 22943
3 424 1751 9850
3 15701 16519 19854
3 5788 8803 9810
3 17111 22111 23155
3 2250 2648 19865
3 2510 4792 25601
3 1383 3265 13846
3 2560 15325 24321
3 11448 25446 25558
3 903 5731 8398
3 7017 18326 21234
3 6205 13036 16826
3 3909 7824 8428
3 4526 8249 25300
3 120 24444 25716
3 14180 18574 22208
3 160 3379 17487
3 3026 9702 23898
3 14555 17974 24137
3 11400 18670 20975
3 7171 9861 24592
3 2815 6795 21756
3 4905 6085 6858
3 545 15878 20571
3 2638 9445 17342
3 2511 17733 24385
3 5344 10959 10961
3 1437 7643 24595
3 13465 13915 15833
3 3928 15039 18286
3 11882 16210 22233
3 7732 23423 25001
3 4904 15000 23639
3 11252 11727 15988
3 3920 8946 18280
3 400 968 3907
3 3882 13495 25888
3 3715 19671 21597
3 11221 16879 17203
3 2424 4300 13123
3 10507 14331 16125
3 7936 14681 21086
3 13933 20647 23180
3 64 1823 21490
3 715 13599 16694
3 11158 15069 15407
3 11655 13866 15542
3 19268 22889 25664
3 3905 5865 14280
3 12011 19383 20163
3 3056 12099 21021
3 6990 11402 17549
3 5079 5279 10245
3 12452 16086 22065
3 9222 17487 19483
3 5427 18130 19209
3 1046 19754 24983
3 17865 20817 25455
3 6705 13234 18667
3 5875 16338 17790
3 34 2638 9190
3 3131 15163 22889
3 4397 7083 24395
3 12925 13317 22923
3 3947 9222 22094
3 1823 23356 25555
3 10920 16227 19804
3 6609 11095 13278
3 6573 14290 18969
3 10671 18152 21765
3 2478 2533 16625
3 16140 21331 21377
3 7374 16125 16142
3 17784 22340 24939
3 9601 15649 18822
3 5313 8020 10694
3 2822 14669 25685
3 715 3982 17487
3 12925 14942 15010
3 3690 12541 21647
3 14788 16862 20138
3 400 1339 21938
3 5484 17710 18981
3 1203 6805 9658
3 6445 18532 22079
3 3025 6292 23222
3 11129 14094 16496
3 2105 5340 22233
3 2378 10324 23513
3 7650 16694 17487
3 3702 14777 17964
3 4013 22048 24621
3 11118 13257 22375
3 16348 23639 25873
3 3988 10011 25015
3 2543 7325 19333
3 14744 14746 21041
3 6205 13320 23832
3 891 14005 18328
3 12552 19224 23945
3 12709 13079 21759
3 131 7181 8234
3 9348 16320 25576
3 15054 21732 22029
3 10502 11577 17308
3 9455 25418 25463
3 8578 16495 16983
3 1650 14561 21483
3 3507 9289 23750
3 9532 19337 21504
3 1836 3476 21144
3 3959 7784 20099
3 13474 17818 22127
3 6945 8290 11257
3 16815 21920 25285
3 2320 15286 24456
3 400 10989 10990
3 6477 10392 19543
3 4538 14951 20803
3 5548 12025 16311
3 18754 19744 23261
3 629 7365 12486
3 18978 20775 24142
3 6112 10069 21827
3 4888 24601 25484
3 13861 25633 25651
3 6742 12922 18498
3 17768 22003 25886
3 3315 9648 20188
3 4782 5486 24668
3 19590 20653 24398
3 3135 4352 19590
3 12470 18712 21590
3 10671 15214 18527
3 11349 17487 22939
3 16208 20373 21929
3 13970 20076 25477
3 13044 13524 18630
3 3287 4660 5788
3 5288 14861 24013
3 5262 23043 24329
3 15388 17924 23936
3 7776 23316 23549
3 5510 12456 21852
3 9741 12714 19774
3 7621 8665 23383
3 13784 21305 23485
3 10503 16890 25225
