
10 1506 2248 4196 8257 12550 13257 16351 19590 19659 21076
10 1736 3288 4333 4969 5740 8780 9456 17022 20357 21021

10 4247 9563 9969 11860 12053 12233 12468 14333 15480 19751

10 1209 2533 3158 4970 7652 8727 20576 25233 25555 25722



10 3107 3834 5788 8803 9810 9864 9865 12541 19633 25418



10 4754 5507 8128 12589 12811 13578 18465 22014 23044 23869
10 319 329 2560 6793 7273 11720 14760 16528 19793 20941


10 145 2738 7017 8576 9303 9601 12543 18099 18246 18326





10 160 620 3379 7214 8331 8407 8820 9431 17487 23281




10 876 2815 6795 10891 14469 15894 19865 21711 21756 23135





10 213 1437 4574 5450 7259 7918 19413 22362 24595 25228





10 311 1520 5261 5381 8813 9187 11727 13575 14291 18123



10 6649 6870 8540 15898 16191 19671 21597 22330 22889 25869
10 5415 11221 11405 13778 14675 14749 15351 16879 17203 23113



10 1205 1445 5012 5992 7170 8707 9907 15538 20647 25894
10 64 797 1823 2872 3892 8888 16544 17181 17487 21490







10 2783 6015 6990 11402 17549 20078 20653 23781 23849 24527





10 11034 11787 12893 14093 15826 16544 17865 20882 23552 24384







10 4483 5582 13144 13948 19715 19921 19980 20817 23356 25084


10 6573 9270 9947 14290 14422 16566 20033 22614 23052 25294
10 4558 10671 11817 13481 14500 15914 16046 18152 20662 23242








10 2581 4358 5783 12219 14641 15010 20651 21206 21214 25494

10 3176 3191 6706 7652 10800 14788 15053 16862 20138 22036


10 1203 1374 6805 9579 9658 10224 10303 15688 22495 22570



10 233 1684 2105 5340 5344 5673 8383 10699 22233 23879




10 9368 10913 11175 12076 12475 15526 17539 19980 24781 25940






10 1338 1392 6148 7556 12552 12627 18981 19224 23945 24888




10 628 3693 3762 10502 11040 11577 15089 17308 19808 23358

10 2035 8578 9241 10171 14669 15050 16495 16983 18446 19744


10 2671 3117 4245 4395 10390 14544 15029 18257 23749 25932

10 2156 3418 3959 4200 15833 20099 22889 24131 25103 25873

10 2943 6945 7874 9132 15228 16793 16914 23646 24142 25236




10 4530 4538 6928 7584 7820 15206 17864 19018 19067 20803






10 1544 1782 9194 10474 13861 19470 22868 25539 25633 25651

10 5601 8466 10424 17626 17768 18003 20682 22003 23558 23586

