0:14760 16846 4754 16771 15791 1022 5440 23336
0:15716 17487 6641 22119 714 8865 3907 17856
1:1736 13036 25418 265 13926 8628 4805 2847
0:21147 21170 5513 17487 12112 19865 20043 3335
0:22516 13467 19345 13389 22233 19360 9431 18532
0:13776 10809 25418 22516 25225 24553 21073 523
0:15894 8628 6181 9222 1022 13130 8166 16694
0:23383 20593 17907 20660 9599 10669 13467 9222
0:6774 10117 16557 25873 5196 23313 19345 13858
0:5697 17616 4394 10990 8257 4080 7120 17710
0:3690 18253 5550 6916 16730 9222 6071 13679
0:22111 25418 25873 5513 2478 138 9599 19345
0:16793 14108 19754 24879 8257 17487 15143 25652
0:16512 4754 10950 24431 1423 7731 10942 15453
0:16793 18583 3476 17105 17487 20710 22233 15914
0:2943 22233 16793 25217 18328 17036 16175 25555
0:13599 16719 12025 16557 17036 3704 22233 16496
0:903 21170 10324 8257 5273 24398 19590 18532
0:18532 9222 2571 17487 5273 16506 6127 15137
0:15615 23337 5582 3989 12112 1926 10990 6916
0:21170 7874 13926 6226 17616 138 8257 21827
0:9197 2248 3958 7444 14681 24427 4805 9261
0:5165 7584 9571 4394 400 19229 4839 21076
1:7584 19229 4839 10011 14180 15094 5982 15228
0:8820 9261 22854 8865 12614 5788 22388 5259
0:25664 10324 4754 21950 2660 714 5129 25873
0:9222 19111 17487 16496 15053 4545 9664 6205
1:16694 25873 20043 20593 18630 8628 6181 6092
0:23540 7209 1736 265 3907 21239 19590 21069
0:19865 14498 10324 19345 9664 13130 3386 24592
0:23507 22119 12099 1888 10942 390 7120 97
0:2248 4560 9222 17907 1823 20710 25418 3335
0:2638 21673 25873 16482 7820 20823 24128 13129
0:16694 9222 8865 20694 7444 20043 24639 23641
0:19590 2571 23337 15615 11022 5273 22233 8663
0:17487 18532 21797 16975 2248 12025 2478 9511
1:13465 7874 5788 19345 22516 3016 13467 6181
0:4754 3131 193 16771 15791 18981 16512 20680
0:11882 11008 9547 17487 19345 12007 9571 5891
0:1274 3476 15053 16482 19345 13036 11022 16408
0:11008 10990 22516 6071 1888 19345 24553 20468
0:3131 9599 25958 25225 9571 19865 8865 523
0:10669 13467 23383 8257 22027 6705 24764 16021
0:3907 865 25873 22566 24377 10011 9778 20859
0:3882 19865 9222 11530 23990 18328 3907 3386
1:19671 17487 13465 13467 22516 15069 11008 10990
0:6071 16694 2943 22145 16793 9601 10669 21170
0:24142 24013 18500 20680 11530 22695 3882 16557
0:14331 16793 2671 25001 12922 20710 16846 3704
1:21086 9222 2121 14681 23947 17105 22027 15796
0:4839 16793 7584 6270 15228 16914 6916 14180
0:2872 20710 8141 25958 523 3386 1954 15184
0:715 5240 4936 5788 3958 10942 265 14108
0:15069 25664 6226 24398 16975 16203 22516 715
0:15542 19754 12219 17487 9063 24013 9778 25707
1:2571 19268 4754 265 18532 25664 15094 24790
0:3905 851 24456 7584 8419 15228 10011 12025
0:23113 16413 17487 10942 21998 13467 6071 17710
0:19345 24882 10011 16793 7874 8576 8257 10324
0:715 23849 18440 16496 7874 4936 20064 5550
0:1973 2571 5273 1423 6092 9778 24401 3898
0:22566 6700 2478 13389 21485 17036 12025 9576
0:9222 24427 8628 21086 4353 3084 20951 12025
0:267 25217 17036 2847 18328 5273 5582 16175
0:24983 2248 7584 4196 11154 5788 2571 16175
0:16793 6916 3690 4839 5550 17710 18253 22388
0:9222 22889 6774 10117 25873 1823 14227 10942
0:18328 16175 25555 17239 2478 9285 18116 3882
0:13130 19590 3131 9222 16351 20202 24427 9571
0:22889 5338 22516 4710 17699 2581 23242 19110
0:13881 15069 5165 25217 8257 865 19959 22516
0:20884 16496 2527 11314 4936 24427 25664 11008
0:22094 3704 6226 9014 12079 10942 9576 11022
1:8419 5788 7732 9222 23055 16694 1823 851
0:7584 16793 4839 15094 19865 10011 8257 15228
0:13599 22889 455 23313 7731 14227 20043 3898
0:24764 24142 9599 16694 20593 25485 24456 21147
2:24142 21765 5977 14561 8865 10675 16694 9576
0:2533 16793 1506 3704 4394 17549 3907 3135
0:19590 18033 16694 16408 19633 18766 21637 5165
0:16125 523 22516 15094 2674 16793 22854 1506
0:15615 24939 3989 15407 8648 5240 17382 400
0:12079 2571 19590 8648 8141 8628 355 15949
0:13599 11022 8576 17487 19633 19590 25418 16496
0:12100 22119 19754 15407 400 20202 2571 15094
0:17487 9511 22516 24116 23405 9571 23608 13467
0:21206 15258 18524 10467 22889 2248 16283 4560
0:3690 5550 18253 13036 19590 6201 11740 21170
0:10011 7584 13036 24456 16793 20593 9222 25001
0:400 5240 15407 9222 14108 4545 5788 7584
0:273 10990 13599 15796 18440 4936 9495 10467
0:16408 2531 3704 6226 23055 23540 7120 22614
1:23336 23313 18532 2248 13599 2316 19345 1905
0:15053 20710 24128 13599 6071 10669 17616 3084
0:16694 16125 9222 523 19633 20043 2248 18532
0:19590 18328 24554 19092 19111 16694 1736 903
0:10324 25664 19865 3989 2660 10627 715 7120
0:3690 5550 18253 19590 1888 16175 25555 16730
0:5558 23058 13467 10627 23608 22027 15407 4710
0:5788 20043 17487 17216 16694 10069 16625 19092
0:22614 22388 18184 2671 22233 17906 15949 8865
0:7120 13578 4754 6226 23058 2531 7209 11503
0:25015 3386 19590 8576 715 15407 3704 10627
0:13467 8865 24553 8648 15078 11008 16482 3016
0:8257 25873 24398 11314 13599 20823 18033 12079
0:23832 3907 2671 20307 9778 14669 17856 138
0:20884 9222 19111 24427 4196 23947 16694 14681
0:6282 21710 1414 16793 10324 17710 8407 23113
0:10942 3958 8084 5331 15949 1823 8648 9576
0:17487 9222 22516 19345 22889 14227 4754 2478
0:9222 1823 9431 17487 2658 17216 12680 21170
0:17487 15054 20710 1954 13303 12079 23641 19590
0:3907 8865 22516 19754 5982 19590 19229 25225
0:2531 2248 7820 5331 17071 7732 10546 9567
0:4936 16975 11825 18184 17248 9222 17616 523
0:17487 13036 25664 97 265 5129 3625 20043
0:2658 16408 13130 9664 17382 4394 3704 19092
0:23337 17036 18532 17487 6226 14108 6198 5259
