0:8331 193 12219 16846 10627 15186 14760 21673
2:24398 17895 25131 14669 8257 19590 12679 12752
0:19105 24841 25487 14168 4134 24363 3205 16021
0:16125 10507 1274 15950 18117 21147 7732 8536
0:7421 12219 8331 10627 21673 2581 8820 193
0:6071 18630 6388 21707 14631 10148 18214 12076
0:6870 8727 25233 1209 6774 18720 1413 22354
0:12634 7621 23383 356 10689 22027 846 18310
0:15615 17487 10324 16694 20337 9850 1751 16349
0:3301 19854 13855 14914 17267 2320 4550 4419
3:5788 8803 12541 9864 2674 2990 9865 5891
0:9827 10950 15363 11267 10337 18106 15137 3782
0:19865 16719 17388 22903 6270 5089 1012 138
0:13339 14088 25601 24725 9495 24013 1888 24142
2:3265 5165 24741 11144 4080 23044 1383 13505
0:24321 16351 22522 25096 8535 5095 18532 5484
0:11448 1586 9535 80 11433 25199 9741 13467
0:13599 5165 8420 20450 903 8398 25418 10401
0:7120 21234 25714 11022 153 7017 715 9014
0:6205 16826 10990 25873 6181 15069 13036 13523
0:19248 3205 18532 3909 4552 11727 16712 5213
0:20468 1607 25300 4526 14712 22167 25225 9050
0:120 16719 8982 18440 13389 12792 19590 1012
0:7365 3604 14180 13858 631 11574 9355 5665
0:17487 5129 16694 3379 2513 13599 19360 10204
0:18532 25418 6914 23898 5805 6054 15343 24321
0:14555 11026 10011 18185 2700 20043 17974 24137
1:138 16319 18670 20043 12679 21637 16990 2728
0:265 13926 12099 17674 7374 24592 17229 15894
1:2815 15894 4970 8257 265 16175 17674 7041
0:24561 4905 19105 1423 1083 21618 3205 11552
0:20571 545 9911 9063 15878 716 7180 25418
0:17487 16694 9445 2638 17710 17912 1878 24989
0:9571 24385 24398 1961 6916 23498 17733 9547
0:10516 17860 5344 23724 3303 11158 17671 3905
0:10011 5982 20421 25217 18553 7643 3898 15053
0:13465 15833 22119 13915 13278 22889 14688 15407
0:2660 3498 15281 4712 9599 15039 3928 20671
0:22233 4754 16210 11882 18876 23055 24501 1000
1:7732 25001 18117 16125 23423 1274 25181 10507
1:25873 10990 11008 6181 15069 18594 21755 6205
1:3205 11727 19248 16712 3704 1899 8367 1888
0:16114 3920 17487 1043 17379 1817 15284 13578
0:400 3907 19633 22516 715 10011 21938 968
0:9222 3882 24427 715 13495 6705 16694 17931
0:11008 19671 13467 10990 21597 18864 18594 6181
0:17203 23593 17851 2248 25424 18454 6071 17536
0:4300 20660 13123 10011 16319 22843 4134 2728
1:16125 10507 7732 18117 4805 5788 15950 19190
0:21086 14681 19865 17388 1012 15228 5582 6033
0:22711 7732 18440 120 13339 8620 23407 712
1:1823 3892 21490 64 23356 22233 13599 5095
1:17487 13599 16694 9222 715 25418 9431 400
2:22889 15069 15407 3131 25873 22516 6181 10990
1:2674 15542 21827 11655 10069 9381 13904 9911
